chunk_id,subject,chapter,text
0,Chemistry,02 Structure of atom,"The rich diversity of chemical behaviour of different elements can be traced to the differences in the internal structure of atoms of these elements. Unit 2 structure of atom After studying this unit you will be able to • know about the discovery of electron, proton and neutron and their characteristics; • describe Thomson, Rutherford and Bohr atomic models; • understand the important features of the quantum mechanical model of atom; • u n d e r s t a n d n a t u r e o f electromagnetic radiation and Planck’s quantum theory; • explain the photoelectric effect and describe features of atomic spectra; • state the de Broglie relation and Heisenberg uncertainty principle; • define an atomic orbital in terms of quantum numbers; • state aufbau principle, Pauli exclusion principle and Hund’s rule of maximum multiplicity; and • write the electronic configurations of atoms. The existence of atoms has been proposed since the time of early Indian and Greek philosophers (400 B.C.) who were of the view that atoms are the fundamental building blocks of matter. According to them, the continued subdivisions of matter would ultimately yield atoms which would not be further divisible. The word ‘atom’ has been derived from the Greek word ‘a-tomio’ which means ‘uncut-able’ or ‘non-divisible’."
1,Chemistry,02 Structure of atom,"These earlier ideas were mere speculations and there was no way to test them experimentally. These ideas remained dormant for a very long time and were revived again by scientists in the nineteenth century. The atomic theory of matter was first proposed on a firm scientific basis by John Dalton, a British school teacher in 1808. His theory, called Dalton’s atomic theory, regarded the atom as the ultimate particle of matter (Unit 1). Dalton’s atomic theory was able to explain the law of conservation of mass, law of constant composition and law of multiple proportion very successfully."
2,Chemistry,02 Structure of atom,"However, it failed to explain the results of many experiments, for example, it was known that substances like glass or ebonite when rubbed with silk or fur get electrically charged. In this unit we start with the experimental observations made by scientists towards the end of nineteenth and beginning of twentieth century. These established that atoms are made of sub-atomic particles, i.e., electrons, protons and neutrons — a concept very different from that of Dalton. Objectives Reprint 2026-27 30 chemistry 2.1 Discovery of Sub-atomic Particles An insight into the structure of atom was obtained from the experiments on electrical discharge through gases. Before we discuss these results we need to keep in mind a basic rule regarding the behaviour of charged particles : “Like charges repel each other and unlike charges attract each other”."
3,Chemistry,02 Structure of atom,"2.1.1 Discovery of Electron In 1830, Michael Faraday showed that if electricity is passed through a solution of an electrolyte, chemical reactions occurred at the electrodes, which resulted in the liberation and deposition of matter at the electrodes. He formulated certain laws which you will study in Class XII. These results suggested the particulate nature of electricity. In mid 1850s many scientists mainly Faraday began to study electrical discharge in partially evacuated tubes, known as cathode ray discharge tubes. It is depicted in Fig."
4,Chemistry,02 Structure of atom,"A cathode ray tube is made of glass containing two thin pieces of metal, called electrodes, sealed in it. The electrical discharge through the gases could be observed only at very low pressures and at very high voltages. The pressure of different gases could be adjusted by evacuation of the glass tubes. When sufficiently high voltage is applied across the electrodes, current starts flowing through a stream of particles moving in the tube from the negative electrode (cathode) to the positive electrode (anode). These were called cathode rays or cathode ray particles."
5,Chemistry,02 Structure of atom,"The flow of current from cathode to anode was further checked by making a hole in the anode and coating the tube behind anode with phosphorescent material zinc sulphide. When these rays, after passing through anode, strike the zinc sulphide coating, a bright spot is developed on the coating [Fig. 2.1(a) A cathode ray discharge tube Fig. 2.1(b) A cathode ray discharge tube with perforated anode The results of these experiments are summarised below. (i) The cathode rays start from cathode and move towards the anode."
6,Chemistry,02 Structure of atom,"(ii) These rays themselves are not visible but their behaviour can be observed with the help of certain kind of materials (fluorescent or phosphorescent) which glow when hit by them. Television picture tubes are cathode ray tubes and television pictures result due to fluorescence on the television screen coated with certain fluorescent or phosphorescent materials. (iii) In the absence of electrical or magnetic field, these rays travel in straight lines (Fig. (iv) In the presence of electrical or magnetic field, the behaviour of cathode rays are similar to that expected from negatively charged particles, suggesting that the cathode rays consist of negatively charged particles, called electrons. (v) The characteristics of cathode rays (electrons) do not depend upon the Reprint 2026-27 31 structure of atom material of electrodes and the nature of the gas present in the cathode ray tube."
7,Chemistry,02 Structure of atom,"Thus, we can conclude that electrons are basic constituent of all the atoms. 2.1.2 Charge to Mass Ratio of Electron In 1897, British physicist J.J. Thomson measured the ratio of electrical charge (e) to the mass of electron (me ) by using cathode ray tube and applying electrical and magnetic field perpendicular to each other as well as to the path of electrons (Fig. When only electric field is applied, the electrons deviate from their path and hit the cathode ray tube at point A (Fig. Similarly when only magnetic field is applied, electron strikes the cathode ray tube at point C."
8,Chemistry,02 Structure of atom,"By carefully balancing the electrical and magnetic field strength, it is possible to bring back the electron to the path which is followed in the absence of electric or magnetic field and they hit the screen at point B. Thomson argued that the amount of deviation of the particles from their path in the presence of electrical or magnetic field depends upon: (i) the magnitude of the negative charge on the particle, greater the magnitude of the charge on the particle, greater is the interaction with the electric or magnetic field and thus greater is the deflection. (ii) the mass of the particle — lighter the particle, greater the deflection. (iii) the strength of the electrical or magnetic field — the deflection of electrons from its original path increases with the increase in the voltage across the electrodes, or the strength of the magnetic field. By carrying out accurate measurements on the amount of deflections observed by the electrons on the electric field strength or magnetic field strength, Thomson was able to determine the value of e/me as: = 1.758820 × 1011 C kg–1 (2.1) Where me is the mass of the electron in kg and e is the magnitude of the charge on the electron in coulomb (C)."
9,Chemistry,02 Structure of atom,"Since electrons are negatively charged, the charge on electron is –e. 2.1.3 Charge on the Electron R.A. Millikan (1868-1953) devised a method known as oil drop experiment (1906-14), to determine the charge on the electrons. He found the charge on the electron to be – 1.6 × 10–19 C. The present accepted value of electrical charge is – 1.602176 × 10–19 C."
10,Chemistry,02 Structure of atom,"The mass of the electron (me) was determined by combining these results with Thomson’s value of e/me ratio. = 9.1094×10–31 kg (2.2) Fig. 2.2 The apparatus to determine the charge to the mass ratio of electron Reprint 2026-27 32 chemistry 2.1.4 Discovery of Protons and Neutrons Electrical discharge carried out in the modified cathode ray tube led to the discovery of canal rays carrying positively charged particles. The characteristics of these positively charged particles are listed below. (i) Unlike cathode rays, mass of positively charged particles depends upon the nature of gas present in the cathode ray tube."
11,Chemistry,02 Structure of atom,These are simply the positively charged gaseous ions. (ii) The charge to mass ratio of the particles depends on the gas from which these originate. (iii) Some of the positively charged particles carry a multiple of the fundamental unit of electrical charge. (iv) The behaviour of these particles in the magnetic or electrical field is opposite to that observed for electron or cathode rays. The smallest and lightest positive ion was obtained from hydrogen and was called proton.
12,Chemistry,02 Structure of atom,"This positively charged particle was characterised in 1919. Later, a need was felt for the presence of electrically neutral particle as one of the constituent of atom. These particles were discovered by Chadwick (1932) by bombarding a thin sheet of beryllium by α-particles. When electrically neutral particles having a mass slightly greater than that of protons were emitted. He named these particles as neutrons."
13,Chemistry,02 Structure of atom,"The important properties of all these fundamental particles are given in Table 2.1. 2.2 Atomic Models Observations obtained from the experiments mentioned in the previous sections have suggested that Dalton’s indivisible atom is composed of sub-atomic particles carrying positive and negative charges. The major problems before the scientists after the discovery of sub-atomic particles were: • to account for the stability of atom, • to compare the behaviour of elements in terms of both physical and chemical properties, Millikan’s Oil Drop Method In this method, oil droplets in the form of mist, produced by the atomiser, were allowed to enter through a tiny hole in the upper plate of electrical condenser. The downward motion of these droplets was viewed through the telescope, equipped with a micrometer eye piece. By measuring the rate of fall of these droplets, Millikan was able to measure the mass of oil droplets."
14,Chemistry,02 Structure of atom,"The air inside the chamber was ionized by passing a beam of X-rays through it. The electrical charge on these oil droplets was acquired by collisions with gaseous ions. The fall of these charged oil droplets can be retarded, accelerated or made stationary depending upon the charge on the droplets and the polarity and strength of the voltage applied to the plate. By carefully measuring the effects of electrical field strength on the motion of oil droplets, Millikan concluded that the magnitude of electrical charge, q, on the droplets is always an integral multiple of the electrical charge, e, that is, q = n e, where n = 1, 2, 3... • to explain the formation of different kinds of molecules by the combination of different atoms and, • to understand the origin and nature of the characteristics of electromagnetic radiation absorbed or emitted by atoms."
15,Chemistry,02 Structure of atom,"2.3 The Millikan oil drop apparatus for measuring charge ‘e’. In chamber, the forces acting on oil drop are: gravitational, electrostatic due to electrical field and a viscous drag force when the oil drop is moving. Reprint 2026-27 33 structure of atom Different atomic models were proposed to explain the distributions of these charged particles in an atom. Although some of these models were not able to explain the stability of atoms, two of these models, one proposed by J.J. Thomson and the other proposed by Ernest Rutherford are discussed below."
16,Chemistry,02 Structure of atom,"2.2.1 Thomson Model of Atom J. Thomson, in 1898, proposed that an atom possesses a spherical shape (radius approximately 10–10 m) in which the positive charge is uniformly distributed. The electrons are embedded into it in such a manner as to give the most stable electrostatic arrangement (Fig. Many different names are given to this model, for example, plum pudding, raisin pudding or watermelon. This model In the later half of the nineteenth century different kinds of rays were discovered, besides those mentioned earlier."
17,Chemistry,02 Structure of atom,"Wilhalm Röentgen (1845-1923) in 1895 showed that when electrons strike a material in the cathode ray tubes, produce rays which can cause fluorescence in the fluorescent materials placed outside the cathode ray tubes. Since Röentgen did not know the nature of the radiation, he named them X-rays and the name is still carried on. It was noticed that X-rays are produced effectively when electrons strike the dense metal anode, called targets. These are not deflected by the electric and magnetic fields and have a very high penetrating power through the matter and that is the reason that these rays are used to study the interior of the objects. These rays are of very short wavelengths (∼0.1 nm) and possess electro-magnetic character (Section 2.3.1)."
18,Chemistry,02 Structure of atom,"Henri Becqueral (1852-1908) observed that there are certain elements which emit radiation on their own and named this phenomenon as radioactivity and the elements known as radioactive elements. This field was developed by Marie Curie, Piere Curie, Rutherford and Fredrick Soddy. It was observed that three kinds of rays i.e., α, β- and γ-rays are emitted. Rutherford found that α-rays consists of high energy particles carrying two units of positive charge and four unit of atomic mass. He concluded that α- particles are helium nuclei as when α- particles combined with two electrons yielded helium gas."
19,Chemistry,02 Structure of atom,"β-rays are negatively charged Fig.2.4 Thomson model of atom can be visualised as a pudding or watermelon of positive charge with plums or seeds (electrons) embedded into it. An important feature of this model is that the mass of the atom is assumed to be uniformly distributed over the atom. Although this model was able to explain the overall neutrality of the atom, but was not consistent with the results of later experiments. Thomson was awarded Nobel Prize for physics in 1906, for his theoretical and experimental investigations on the conduction of electricity by gases. Table 2.1 Properties of Fundamental Particles Name Symbol Absolute charge/C Relative charge Mass/kg Mass/u Approx."
20,Chemistry,02 Structure of atom,"mass/u Electron Proton Neutron e p n – 1.602176×10–19 + 1.602176×10–19 0 –1 +1 0 9.109382×10–31 1.6726216×10–27 1.674927×10–27 0.00054 1.00727 1.00867 0 1 1 Reprint 2026-27 34 chemistry represented in Fig. A stream of high energy α–particles from a radioactive source was directed at a thin foil (thickness ∼ 100 nm) of gold metal. The thin gold foil had a circular fluorescent zinc sulphide screen around it. Whenever α–particles struck the screen, a tiny flash of light was produced at that point. The results of scattering experiment were quite unexpected."
21,Chemistry,02 Structure of atom,"According to Thomson model of atom, the mass of each gold atom in the foil should have been spread evenly over the entire atom, and α–particles had enough energy to pass directly through such a uniform distribution of mass. It was expected that the particles would slow down and change directions only by a small angles as they passed through the foil. It was observed that: (i) most of the α–particles passed through the gold foil undeflected. (ii) a small fraction of the α–particles was deflected by small angles. (iii) a very few α–particles (∼1 in 20,000) bounced back, that is, were deflected by nearly 180°."
22,Chemistry,02 Structure of atom,"On the basis of the observations, Rutherford drew the following conclusions regarding the structure of atom: (i) Most of the space in the atom is empty as most of the α–particles passed through the foil undeflected. (ii) A few positively charged α–particles were deflected. The deflection must be due to enormous repulsive force showing that the positive charge of the atom is not spread throughout the atom as Thomson had presumed. The positive charge has to be concentrated in a very small volume that repelled and deflected the positively charged α–particles. (iii) Calculations by Rutherford showed that the volume occupied by the nucleus is negligibly small as compared to the total volume of the atom."
23,Chemistry,02 Structure of atom,"The radius of the atom is about 10–10 m, while that of nucleus is 10–15 m. One can appreciate this difference in size by realising that if Fig. 2.5 Schematic view of Rutherford’s scattering experiment. When a beam of alpha () particles is “shot” at a thin gold foil, most of them pass through without much effect. Some, however, are deflected."
24,Chemistry,02 Structure of atom,"Rutherford’s scattering experiment B. Schematic molecular view of the gold foil 2.2.2 Rutherford’s Nuclear Model of Atom Rutherford and his students (Hans Geiger and Ernest Marsden) bombarded very thin gold foil with α–particles. Rutherford’s famous –particle scattering experiment is particles similar to electrons. The γ-rays are high energy radiations like X-rays, are neutral in nature and do not consist of particles. As regards penetrating power, α-particles are the least, followed by β-rays (100 times that of α–particles) and γ-rays (1000 times of that α-particles)."
25,Chemistry,02 Structure of atom,"Reprint 2026-27 35 structure of atom a cricket ball represents a nucleus, then the radius of atom would be about 5 km. On the basis of above observations and conclusions, Rutherford proposed the nuclear model of atom. According to this model: (i) The positive charge and most of the mass of the atom was densely concentrated in extremely small region. This very small portion of the atom was called nucleus by Rutherford. (ii) The nucleus is surrounded by electrons that move around the nucleus with a very high speed in circular paths called orbits."
26,Chemistry,02 Structure of atom,"Thus, Rutherford’s model of atom resembles the solar system in which the nucleus plays the role of sun and the electrons that of revolving planets. (iii) Electrons and the nucleus are held together by electrostatic forces of attraction. 2.2.3 Atomic Number and Mass Number The presence of positive charge on the nucleus is due to the protons in the nucleus. As established earlier, the charge on the proton is equal but opposite to that of electron. The number of protons present in the nucleus is equal to atomic number (Z )."
27,Chemistry,02 Structure of atom,"For example, the number of protons in the hydrogen nucleus is 1, in sodium atom it is 11, therefore their atomic numbers are 1 and 11 respectively. In order to keep the electrical neutrality, the number of electrons in an atom is equal to the number of protons (atomic number, Z ). For example, number of electrons in hydrogen atom and sodium atom are 1 and 11 respectively. Atomic number (Z) = number of protons in the nucleus of an atom = number of electrons in a nuetral atom (2.3) While the positive charge of the nucleus is due to protons, the mass of the nucleus, due to protons and neutrons. As discussed earlier protons and neutrons present in the nucleus are collectively known as nucleons."
28,Chemistry,02 Structure of atom,"The total number of nucleons is termed as mass number (A) of the atom. mass number (A) = number of protons (Z ) + number of neutrons (n) (2.4) 2.2.4 Isobars and Isotopes The composition of any atom can be represented by using the normal element symbol (X) with super-script on the left hand side as the atomic mass number (A) and subscript (Z) on the left hand side as the atomic number (i.e., A Z X). Isobars are the atoms with same mass number but different atomic number for example, 6 14C and 7 14N. On the other hand, atoms with identical atomic number but different atomic mass number are known as Isotopes. In other words (according to equation 2.4), it is evident that difference between the isotopes is due to the presence of different number of neutrons present in the nucleus."
29,Chemistry,02 Structure of atom,"For example, considering of hydrogen atom again, 99.985% of hydrogen atoms contain only one proton. This isotope is called protium (1 1H). Rest of the percentage of hydrogen atom contains two other isotopes, the one containing 1 proton and 1 neutron is called deuterium (1 2D, 0.015%) and the other one possessing 1 proton and 2 neutrons is called tritium (1 3T ). The latter isotope is found in trace amounts on the earth. Other examples of commonly occuring isotopes are: carbon atoms containing 6, 7 and 8 neutrons besides 6 protons ( 6 12 6 13 6 14 C, C, C ); chlorine atoms containing 18 and 20 neutrons besides 17 protons ( 17 35 17 37 Cl, Cl )."
